matchup_id,date,city,state,country,arena,attendance
182,2014-11-15 14:00:00,Athens,Ohio,,Convocation Center,7115.0
183,2014-11-15 14:00:00,Cedar Falls,Iowa,,McLeod Center,3716.0
184,2014-11-15 15:00:00,Philadelphia,Pennsylvania,,Tom Gola Arena,3400.0
185,2014-11-15 15:05:00,Evansville,Indiana,,Ford Center,4238.0
186,2014-11-15 16:00:00,DeKalb,Illinois,,Convocation Center,981.0
187,2014-11-15 16:30:00,Indianapolis,Indiana,,Hinkle Fieldhouse,7652.0
188,2014-11-15 17:00:00,Bowling Green,Kentucky,,E.A. Diddle Arena,4572.0
189,2014-11-15 17:30:00,West Point,New York,,Christl Arena,
190,2014-11-15 19:00:00,Youngstown,Ohio,,Beeghly Physical Education Center,2840.0
191,2014-11-15 19:00:00,Providence,Rhode Island,,Dunkin' Donuts Center,9599.0
192,2014-11-15 19:00:00,Riverside,California,,UC Riverside Student Recreation Center,2341.0
193,2014-11-15 19:30:00,Spartanburg,South Carolina,,G.B. Hodge Center,866.0
194,2014-11-15 20:00:00,Birmingham,Alabama,,Bartow Arena,2403.0
195,2014-11-15 20:00:00,Los Angeles,California,,Albert Gersten Pavilion,1326.0
196,2014-11-15 20:00:00,West Point,New York,,Christl Arena,1060.0
197,2014-11-15 22:00:00,Fort Collins,Colorado,,Moby Arena,3602.0
198,2014-11-15 22:30:00,Los Angeles,California,,Galen Center,2811.0
199,2014-11-16 12:00:00,Newark,New Jersey,,Prudential Center,7075.0
200,2014-11-16 12:30:00,Boston,Massachusetts,,TD Garden,
201,2014-11-16 13:00:00,Madison,Wisconsin,,Kohl Center,17279.0
202,2014-11-16 14:00:00,Tampa,Florida,,USF Sun Dome,3095.0
203,2014-11-16 14:00:00,Greenville,North Carolina,,Williams Arena at Minges Coliseum,4149.0
204,2014-11-16 14:00:00,Hartford,Connecticut,,Chase Family Arena,1876.0
205,2014-11-16 14:00:00,Jacksonville,Florida,,Jacksonville Veterans Memorial Arena,733.0
206,2014-11-16 14:00:00,Toledo,Ohio,,Savage Hall,4128.0
207,2014-11-16 15:00:00,Beaumont,Texas,,Montagne Center,3313.0
208,2014-11-16 15:00:00,Little Rock,Arkansas,,Jack Stephens Center,946.0
