box_score_id,player_id,minutes_played,fg,fg_a,two_pt,two_pt_a,three_pt,three_pt_a,ft,ft_a,o_reb,d_reb,assist,pf,stl,to,blk,pts
9372,781329,35,6,10,3,6,3,4,4,5,2,6,7,3,1,5,0,19
9372,776059,5,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0
9372,797876,3,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0,1
9372,792222,14,1,4,0,0,1,4,0,0,0,2,1,1,0,1,0,3
9372,781408,21,2,4,1,2,1,2,2,2,2,3,0,4,1,2,0,7
9372,792046,6,0,2,0,0,0,2,0,0,0,0,0,2,1,1,0,0
9372,792447,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9372,786691,29,1,11,1,5,0,6,2,3,1,3,0,1,0,0,1,4
9372,786693,22,2,6,2,2,0,4,0,0,0,1,0,3,0,2,1,4
9372,781455,13,2,2,1,1,1,1,0,0,0,0,2,1,0,1,0,5
9373,791868,18,2,5,2,5,0,0,0,0,0,2,1,2,0,1,0,4
9373,797802,20,1,5,1,4,0,1,0,0,1,1,6,4,2,0,1,2
9373,797809,30,5,11,5,10,0,1,1,3,1,2,1,4,1,0,0,11
9373,797807,38,9,12,8,10,1,2,5,6,1,6,5,1,1,1,0,24
9373,786058,29,1,4,1,3,0,1,0,1,0,2,3,3,1,0,0,2
9373,795730,32,6,11,4,7,2,4,1,2,0,1,2,1,1,3,1,15
9373,797810,4,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0,2
9373,797808,12,2,3,2,3,0,0,0,0,1,0,0,2,1,0,0,4
9373,792264,17,2,6,2,5,0,1,1,2,1,7,2,1,2,2,0,5
9373,797812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9374,782133,32,4,9,0,2,4,7,0,0,1,2,1,1,1,0,1,12
9374,785123,27,10,15,10,15,0,0,3,5,1,3,2,1,0,0,3,23
9374,790990,23,2,7,0,1,2,6,0,0,2,3,3,4,0,1,0,6
9374,789219,34,6,10,3,4,3,6,0,0,1,1,0,2,2,3,0,15
9374,785059,36,5,12,4,9,1,3,2,3,4,4,8,1,2,4,1,13
9374,785305,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9374,796622,8,1,2,1,2,0,0,0,0,1,0,0,2,0,0,0,2
9374,796623,18,0,6,0,2,0,4,0,0,0,2,1,3,0,1,0,0
9374,785122,15,0,3,0,0,0,3,0,0,0,1,2,1,0,1,0,0
9374,796624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9374,790989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9374,790988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9374,785303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9375,797292,29,12,19,12,19,0,0,3,3,7,5,2,1,0,2,2,27
9375,780509,28,1,2,1,1,0,1,0,0,1,2,0,1,1,2,3,2
9375,797290,31,5,12,3,6,2,6,2,2,0,1,3,1,0,3,0,14
9375,797291,23,1,3,1,1,0,2,2,2,0,0,5,0,0,1,0,4
9375,786064,33,7,11,3,6,4,5,4,5,1,12,2,2,0,0,0,22
9375,791658,9,1,1,1,1,0,0,0,0,2,1,0,4,0,1,0,2
